'hood.n.01	(slang) a neighborhood
keepsake.n.01	something of sentimental value
kegel_exercises.n.01	exercises for women designed to improve the ability to hold urine
kei_apple.n.01	vigorous South African spiny shrub grown for its round yellow juicy edible fruits
kelly.n.01	United States circus clown (1898-1979)
kelly.n.03	United States dancer who performed in many musical films (1912-1996)
kenaf.n.01	fiber from an East Indian plant Hibiscus cannabinus
kenaf.n.02	valuable fiber plant of East Indies now widespread in cultivation
kendall_test.n.01	any of several nonparametric measures of correlation (used when the assumptions of standard correlational analysis are not met)
kennedia.n.01	genus of Australian woody vines having showy red or purplish flowers
kennedy.n.01	35th President of the United States; established the Peace Corps; assassinated in Dallas (1917-1963)
kennedy.n.02	a large airport on Long Island to the east of New York City
kennesaw_mountain.n.01	battle of the American Civil War (1864); Union forces under William Tecumseh Sherman were repulsed by Confederate troops under Joseph Eggleston Johnston
kentucky.n.01	a state in east central United States; a border state during the American Civil War; famous for breeding race horses
kentucky_bluegrass.n.01	valuable meadow and pasture grass in Europe and especially central United States having tall stalks and slender bright green leaves; a chief constituent in lawn grass mixtures
kentucky_coffee_tree.n.01	handsome tree of central and eastern North America having large bipinnate leaves and green-white flowers followed by large woody brown pods whose seeds are used as a coffee substitute
kentucky_yellowwood.n.01	small handsome roundheaded deciduous tree having showy white flowers in terminal clusters and heavy hardwood yielding yellow dye
kenya.n.01	a republic in eastern Africa; achieved independence from the United Kingdom in 1963; major archeological discoveries have been made in the Great Rift Valley in Kenya
keogh_plan.n.01	a tax-deferred pension plan for employees of unincorporated businesses or for self-employed persons
kepi.n.01	a cap with a flat circular top and a visor
kepler's_law.n.01	(astronomy) one of three empirical laws of planetary motion stated by Johannes Kepler
keratin.n.01	a fibrous scleroprotein that occurs in the outer layer of the skin and in horny tissues such as hair, feathers, nails, and hooves
keratinize.v.02	become horny and impregnated with keratin
keratoplasty.n.01	a surgical procedure in which part or all of a damaged or diseased cornea is replaced by healthy corneal tissue from a donor
keratosis.n.01	a skin condition marked by an overgrowth of layers of horny skin
kerb_crawler.n.01	someone who drives slowly along the curb seeking sex from prostitutes or other women
kerbala.n.01	a city of central Iraq to the south of Baghdad; a holy city for Shiite Muslims because it is the site of the tomb of Mohammed's grandson who was killed there in 680
kern.v.01	furnish with a kern
kernel.n.03	the choicest or most essential or most vital part of some idea or experience
kerosene.n.01	a flammable hydrocarbon oil used as fuel in lamps and heaters
ketamine.n.01	a general anesthetic and tranquilizer (not a barbiturate) that is administered intravenously or intramuscularly; used mainly by veterinarians or for minor surgery with geriatric or pediatric patients; taken in large doses it causes hallucinations similar to those associated with the use of PCP
ketembilla.n.01	a small shrubby spiny tree cultivated for its maroon-purple fruit with sweet purple pulp tasting like gooseberries; Sri Lanka and India
ketembilla.n.02	maroon-purple gooseberry-like fruit of India having tart-sweet purple pulp used especially for preserves
ketoacidosis.n.01	acidosis with an accumulation of ketone bodies; occurs primarily in diabetes mellitus
ketone.n.01	any of a class of organic compounds having a carbonyl group linked to a carbon atom in each of two hydrocarbon radicals
ketoprofen.n.01	nonsteroidal anti-inflammatory drug (trade names Orudis or Orudis KT or Oruvail)
ketorolac.n.01	nonsteroidal anti-inflammatory (trade name Torodal) that is given only orally
ketorolac_tromethamine.n.01	nonsteroidal anti-inflammatory drug (trade names Acular and Toradol) that is administered only intramuscularly
ketosteroid.n.01	a steroid containing a ketone group
kettle.n.01	a metal pot for stewing or boiling; usually has a lid
kettle.n.04	a large hemispherical brass or copper percussion instrument with a drumhead that can be tuned by adjusting the tension on it
key.n.01	metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated
key.n.04	any of 24 major or minor diatonic scales that provide the tonal framework for a piece of music
key.n.05	a kilogram of a narcotic drug
key.n.08	a coral reef off the southern coast of Florida
key.n.09	(basketball) a space (including the foul line) in front of the basket at each end of a basketball court; usually painted a different color from the rest of the court
key.n.15	a lever (as in a keyboard) that actuates a mechanism when depressed
key.v.04	regulate the musical pitch of
key_palm.n.01	small stocky fan palm of southern Florida and Cuba
keyboard.n.01	device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like
keyboard_instrument.n.01	a musical instrument that is played by means of a keyboard
keynote.n.01	the principal theme in a speech or literary work
keystone.n.02	the central building block at the top of an arch or vault
khabarovsk.n.02	an administrative territory in Russia on the eastern coast of Siberia
khanate.n.02	the position of a khan
kharkov.n.01	a city in northeastern Ukraine; former capital of the Ukraine
khaya.n.01	African mahogany trees
khmer_rouge.n.01	a communist organization formed in Cambodia in 1970; became a terrorist organization in 1975 when it captured Phnom Penh and created a government that killed an estimated three million people; was defeated by Vietnamese troops but remained active until 1999
khoisan.n.01	a family of languages spoken in southern Africa
khyber_pass.n.01	a mountain pass of great strategic and commercial value in the Hindu Kush on the border between northern Pakistan and western Afghanistan; a route by which invaders entered India
kibbutz.n.01	a collective farm or settlement owned by its members in modern Israel; children are reared collectively
kibitz.v.01	make unwanted and intrusive comments
kick.n.01	the act of delivering a blow with the foot
kick.n.06	a rhythmic thrusting movement of the legs as in swimming or calisthenics
kick.v.01	drive or propel with the foot
kick.v.03	strike with the foot
kick.v.06	stop consuming
kick.v.07	make a goal
kick_around.v.02	treat badly; abuse
kick_back.v.01	pay a kickback; make an illegal payment
kick_back.v.02	spring back, as from a forceful thrust
kick_starter.n.01	a starter (as on a motorcycle) that is activated with the foot and the weight of the body
kick_up.n.01	raising the feet backward with the hands on the ground; a first movement in doing a handstand
kicker.n.01	a player who kicks the football
kickoff.n.01	(football) a kick from the center of the field to start a football game or to resume it after a score
kickstand.n.01	a swiveling metal rod attached to a bicycle or motorcycle or other two-wheeled vehicle; the rod lies horizontally when not in use but can be kicked into a vertical position as a support to hold the vehicle upright when it is not being ridden
kid.v.02	be silly or tease one another
kidd.n.01	Scottish sea captain who was hired to protect British shipping in the Indian Ocean and then was accused of piracy and hanged (1645-1701)
kiddy.n.01	a young child
kidnap.v.01	take away to an undisclosed location against their will and usually in order to extract a ransom
kidnapper.n.01	someone who unlawfully seizes and detains a victim (usually for ransom)
kidnapping.n.01	(law) the unlawful act of capturing and carrying away a person against their will and holding them in false imprisonment
kidney.n.01	either of two bean-shaped excretory organs that filter wastes (especially urea) from the blood and excrete them and water in urine
kidney_bean.n.01	the common bean plant grown for the beans rather than the pods (especially a variety with large red kidney-shaped beans)
kidney_disease.n.01	a disease affecting the kidneys
kiggelaria.n.01	small genus of South African shrubs or small trees
kike.n.01	(ethnic slur) offensive term for a Jew
kill.v.01	cause to die; put to death, usually intentionally or knowingly
kill.v.02	thwart the passage of
kill.v.06	overwhelm with hilarity, pleasure, or admiration
kill.v.09	deprive of life
kill.v.10	cause the death of, without intention
kill.v.12	mark for deletion, rub off, or erase
kill.v.13	tire out completely
kill.v.14	cause to cease operating
